Episode    10 | Won: False | Reward: -508.0 | Epsilon: 0.9987
Episode    20 | Won: False | Reward: -505.0 | Epsilon: 0.9973
Episode    30 | Won: False | Reward: -508.0 | Epsilon: 0.9960
Episode    40 | Won: False | Reward: -508.0 | Epsilon: 0.9947
Episode    50 | Won: False | Reward: -505.0 | Epsilon: 0.9933
Episode    60 | Won: False | Reward: -508.0 | Epsilon: 0.9920
Episode    70 | Won: False | Reward: -506.0 | Epsilon: 0.9907
Episode    80 | Won: False | Reward: -510.0 | Epsilon: 0.9893
Episode    90 | Won: False | Reward: -506.0 | Epsilon: 0.9880
Episode   100 | Won: False | Reward: -510.0 | Epsilon: 0.9867
Episode   110 | Won: False | Reward: -509.0 | Epsilon: 0.9853
Episode   120 | Won: False | Reward: -507.0 | Epsilon: 0.9840
Episode   130 | Won: False | Reward: -519.0 | Epsilon: 0.9827
Episode   140 | Won: False | Reward: -519.0 | Epsilon: 0.9813
Episode   150 | Won: False | Reward: -503.0 | Epsilon: 0.9800
Episode   160 | Won: False | Reward: -509.0 | Epsilon: 0.9787
Episode   170 | Won: False | Reward: -518.0 | Epsilon: 0.9773
Episode   180 | Won: False | Reward: -506.0 | Epsilon: 0.9760
Episode   190 | Won: False | Reward: -506.0 | Epsilon: 0.9747
Episode   200 | Won: False | Reward: -509.0 | Epsilon: 0.9733
Episode   210 | Won: False | Reward: -507.0 | Epsilon: 0.9720
Episode   220 | Won: False | Reward: -506.0 | Epsilon: 0.9707
Episode   230 | Won: False | Reward: -511.0 | Epsilon: 0.9693
Episode   240 | Won: False | Reward: -518.0 | Epsilon: 0.9680
Episode   250 | Won: False | Reward: -506.0 | Epsilon: 0.9667
Episode   260 | Won: False | Reward: -507.0 | Epsilon: 0.9653
Episode   270 | Won: False | Reward: -506.0 | Epsilon: 0.9640
Episode   280 | Won: False | Reward: -507.0 | Epsilon: 0.9627
Episode   290 | Won: False | Reward: -510.0 | Epsilon: 0.9613
Episode   300 | Won: False | Reward: -505.0 | Epsilon: 0.9600
Episode   310 | Won: False | Reward: -518.0 | Epsilon: 0.9587
Episode   320 | Won: False | Reward: -507.0 | Epsilon: 0.9573
Episode   330 | Won: False | Reward: -507.0 | Epsilon: 0.9560
Episode   340 | Won: False | Reward: -506.0 | Epsilon: 0.9547
Episode   350 | Won: False | Reward: -511.0 | Epsilon: 0.9533
Episode   360 | Won: False | Reward: -514.0 | Epsilon: 0.9520
Episode   370 | Won: False | Reward: -509.0 | Epsilon: 0.9507
Episode   380 | Won: False | Reward: -506.0 | Epsilon: 0.9493
Episode   390 | Won: False | Reward: -517.0 | Epsilon: 0.9480
Episode   400 | Won: False | Reward: -509.0 | Epsilon: 0.9467
Episode   410 | Won: False | Reward: -505.0 | Epsilon: 0.9453
Episode   420 | Won: False | Reward: -508.0 | Epsilon: 0.9440
Episode   430 | Won: False | Reward: -506.0 | Epsilon: 0.9427
Episode   440 | Won: False | Reward: -513.0 | Epsilon: 0.9413
Episode   450 | Won: False | Reward: -506.0 | Epsilon: 0.9400
Episode   460 | Won: False | Reward: -519.0 | Epsilon: 0.9387
Episode   470 | Won: False | Reward: -524.0 | Epsilon: 0.9373
Episode   480 | Won: False | Reward: -508.0 | Epsilon: 0.9360
Episode   490 | Won: False | Reward: -506.0 | Epsilon: 0.9347
Episode   500 | Won: False | Reward: -508.0 | Epsilon: 0.9333
Episode   510 | Won: False | Reward: -507.0 | Epsilon: 0.9320
Episode   520 | Won: False | Reward: -508.0 | Epsilon: 0.9307
Episode   530 | Won: False | Reward: -504.0 | Epsilon: 0.9293
Episode   540 | Won: False | Reward: -508.0 | Epsilon: 0.9280
Episode   550 | Won: False | Reward: -520.0 | Epsilon: 0.9267
Episode   560 | Won: False | Reward: -519.0 | Epsilon: 0.9253
Episode   570 | Won: False | Reward: -506.0 | Epsilon: 0.9240
Episode   580 | Won: False | Reward: -507.0 | Epsilon: 0.9227
Episode   590 | Won: False | Reward: -517.0 | Epsilon: 0.9213
Episode   600 | Won: False | Reward: -505.0 | Epsilon: 0.9200
Episode   610 | Won: False | Reward: -518.0 | Epsilon: 0.9187
Episode   620 | Won: False | Reward: -505.0 | Epsilon: 0.9173
Episode   630 | Won: False | Reward: -507.0 | Epsilon: 0.9160
Episode   640 | Won: False | Reward: -505.0 | Epsilon: 0.9147
Episode   650 | Won: False | Reward: -509.0 | Epsilon: 0.9133
Episode   660 | Won: False | Reward: -508.0 | Epsilon: 0.9120
Episode   670 | Won: False | Reward: -509.0 | Epsilon: 0.9107
Episode   680 | Won: False | Reward: -509.0 | Epsilon: 0.9093
Episode   690 | Won: False | Reward: -505.0 | Epsilon: 0.9080
Episode   700 | Won: False | Reward: -507.0 | Epsilon: 0.9067
Episode   710 | Won: False | Reward: -509.0 | Epsilon: 0.9053
Episode   720 | Won: False | Reward: -509.0 | Epsilon: 0.9040
Episode   730 | Won: False | Reward: -512.0 | Epsilon: 0.9027
Episode   740 | Won: False | Reward: -507.0 | Epsilon: 0.9013
Episode   750 | Won: False | Reward: -508.0 | Epsilon: 0.9000
Episode   760 | Won: False | Reward: -511.0 | Epsilon: 0.8987
Episode   770 | Won: False | Reward: -504.0 | Epsilon: 0.8973
Episode   780 | Won: False | Reward: -507.0 | Epsilon: 0.8960
Episode   790 | Won: False | Reward: -507.0 | Epsilon: 0.8947
Episode   800 | Won: False | Reward: -505.0 | Epsilon: 0.8933
Episode   810 | Won: False | Reward: -509.0 | Epsilon: 0.8920
Episode   820 | Won: False | Reward: -503.0 | Epsilon: 0.8907
Episode   830 | Won: False | Reward: -508.0 | Epsilon: 0.8893
Episode   840 | Won: False | Reward: -508.0 | Epsilon: 0.8880
Episode   850 | Won: False | Reward: -507.0 | Epsilon: 0.8867
Episode   860 | Won: False | Reward: -516.0 | Epsilon: 0.8853
Episode   870 | Won: False | Reward: -516.0 | Epsilon: 0.8840
Episode   880 | Won: False | Reward: -507.0 | Epsilon: 0.8827
Episode   890 | Won: False | Reward: -509.0 | Epsilon: 0.8813
Episode   900 | Won: False | Reward: -508.0 | Epsilon: 0.8800
Episode   910 | Won: False | Reward: -508.0 | Epsilon: 0.8787
Episode   920 | Won: False | Reward: -505.0 | Epsilon: 0.8773
Episode   930 | Won: False | Reward: -505.0 | Epsilon: 0.8760
Episode   940 | Won: False | Reward: -509.0 | Epsilon: 0.8747
Episode   950 | Won: False | Reward: -509.0 | Epsilon: 0.8733
Episode   960 | Won: False | Reward: -506.0 | Epsilon: 0.8720
Episode   970 | Won: False | Reward: -505.0 | Epsilon: 0.8707
Episode   980 | Won: False | Reward: -514.0 | Epsilon: 0.8693
Episode   990 | Won: False | Reward: -511.0 | Epsilon: 0.8680
Episode  1000 | Won: False | Reward: -512.0 | Epsilon: 0.8667
Episode  1010 | Won: False | Reward: -504.0 | Epsilon: 0.8653
Episode  1020 | Won: False | Reward: -532.0 | Epsilon: 0.8640
Episode  1030 | Won: False | Reward: -511.0 | Epsilon: 0.8627
Episode  1040 | Won: False | Reward: -509.0 | Epsilon: 0.8613
Episode  1050 | Won: False | Reward: -508.0 | Epsilon: 0.8600
Episode  1060 | Won: False | Reward: -506.0 | Epsilon: 0.8587
Episode  1070 | Won: False | Reward: -505.0 | Epsilon: 0.8573
Episode  1080 | Won: False | Reward: -511.0 | Epsilon: 0.8560
Episode  1090 | Won: False | Reward: -519.0 | Epsilon: 0.8547
Episode  1100 | Won: False | Reward: -509.0 | Epsilon: 0.8533
Episode  1110 | Won: False | Reward: -521.0 | Epsilon: 0.8520
Episode  1120 | Won: False | Reward: -512.0 | Epsilon: 0.8507
Episode  1130 | Won: False | Reward: -519.0 | Epsilon: 0.8493
Episode  1140 | Won: False | Reward: -510.0 | Epsilon: 0.8480
Episode  1150 | Won: False | Reward: -509.0 | Epsilon: 0.8467
Episode  1160 | Won: False | Reward: -508.0 | Epsilon: 0.8453
Episode  1170 | Won: False | Reward: -517.0 | Epsilon: 0.8440
Episode  1180 | Won: False | Reward: -517.0 | Epsilon: 0.8427
Episode  1190 | Won: False | Reward: -510.0 | Epsilon: 0.8413
Episode  1200 | Won: False | Reward: -509.0 | Epsilon: 0.8400
Episode  1210 | Won: False | Reward: -523.0 | Epsilon: 0.8387
